InputID,TargetID,Distance
client_10000000,service_10000000,137.171520482
client_10000000,service_10000001,414.508980068
client_10000000,service_10000007,507.7726764
client_10000000,service_10000005,777.797749157
client_10000000,service_10000006,1156.38083407
client_10000000,service_10000004,1182.83367649
client_10000000,service_10000011,1323.17195639
client_10000000,service_10000010,1552.45914435
client_10000000,service_10000009,1614.85967314
client_10000000,service_10000012,2468.99437723
client_10000000,service_10000013,2656.78221776
client_10000000,service_10000008,2754.05983628
client_10000000,service_10000014,2769.02066703
client_10000000,service_10000002,2953.7214686
client_10000000,service_10000003,3399.24284105
client_10000001,service_10000010,621.337838107
client_10000001,service_10000011,710.586100071
client_10000001,service_10000008,755.98659132
client_10000001,service_10000009,815.430847143
client_10000001,service_10000006,914.655448429
client_10000001,service_10000012,950.225833412
client_10000001,service_10000002,983.485013037
client_10000001,service_10000004,1253.74813515
client_10000001,service_10000013,1376.44886576
client_10000001,service_10000014,1503.98596993
client_10000001,service_10000003,1547.54424672
client_10000001,service_10000007,1685.5176059
client_10000001,service_10000001,1705.29568751
client_10000001,service_10000005,1846.42195574
client_10000001,service_10000000,2100.78104501
client_10000002,service_10000008,63.1872794696
client_10000002,service_10000002,242.931566981
client_10000002,service_10000012,742.710284887
client_10000002,service_10000003,842.495607024
client_10000002,service_10000013,1137.6111059
client_10000002,service_10000014,1229.25551002
client_10000002,service_10000009,1255.98843189
client_10000002,service_10000010,1356.11177915
client_10000002,service_10000011,1403.0349706
client_10000002,service_10000006,1572.11535007
client_10000002,service_10000004,1777.24876965
client_10000002,service_10000007,2330.84024441
client_10000002,service_10000005,2420.52835813
client_10000002,service_10000001,2427.39507809
client_10000002,service_10000000,2782.70145863
client_10000003,service_10000003,249.558190155
client_10000003,service_10000002,693.00001815
client_10000003,service_10000012,799.839396197
client_10000003,service_10000014,830.94214579
client_10000003,service_10000013,837.687764057
client_10000003,service_10000008,896.192224245
client_10000003,service_10000009,1649.74285897
client_10000003,service_10000011,2020.09080072
client_10000003,service_10000010,2114.73047246
client_10000003,service_10000006,2124.19994048
client_10000003,service_10000004,2143.96824632
client_10000003,service_10000005,2779.77106708
client_10000003,service_10000007,2798.85448843
client_10000003,service_10000001,3037.18713758
client_10000003,service_10000000,3289.77269612
client_10000004,service_10000003,236.507260574
client_10000004,service_10000002,861.579389918
client_10000004,service_10000008,1093.66936517
client_10000004,service_10000014,1103.80894566
client_10000004,service_10000012,1119.6727587
client_10000004,service_10000013,1130.73419489
client_10000004,service_10000009,1967.55735815
client_10000004,service_10000011,2321.70154621
client_10000004,service_10000010,2387.5316933
client_10000004,service_10000006,2434.24441463
client_10000004,service_10000004,2463.94998674
client_10000004,service_10000005,3099.92383643
client_10000004,service_10000007,3117.08590688
client_10000004,service_10000001,3344.53260159
client_10000004,service_10000000,3606.83379286
client_10000005,service_10000014,231.884049452
client_10000005,service_10000013,258.152917317
client_10000005,service_10000012,666.420508283
client_10000005,service_10000009,1139.2042255
client_10000005,service_10000003,1307.40270051
client_10000005,service_10000002,1406.33894254
client_10000005,service_10000008,1450.57549474
client_10000005,service_10000004,1459.06532398
client_10000005,service_10000006,1676.02335075
client_10000005,service_10000011,1689.38113988
client_10000005,service_10000005,2000.29089332
client_10000005,service_10000010,2004.93834907
client_10000005,service_10000007,2136.94168778
client_10000005,service_10000001,2539.11013552
client_10000005,service_10000000,2631.88979198
client_10000006,service_10000002,104.515421766
client_10000006,service_10000008,161.588203373
client_10000006,service_10000003,726.329539241
client_10000006,service_10000012,858.753872206
client_10000006,service_10000013,1216.26934868
client_10000006,service_10000014,1293.40467037
client_10000006,service_10000009,1437.76248864
client_10000006,service_10000010,1525.97143542
client_10000006,service_10000011,1589.64740435
client_10000006,service_10000006,1760.15048406
client_10000006,service_10000004,1960.63379655
client_10000006,service_10000007,2518.82653218
client_10000006,service_10000005,2605.43957222
client_10000006,service_10000001,2612.00774781
client_10000006,service_10000000,2970.66651498
client_10000007,service_10000014,417.563201693
client_10000007,service_10000013,479.724289582
client_10000007,service_10000012,692.102441289
client_10000007,service_10000003,717.646382513
client_10000007,service_10000002,1037.87436864
client_10000007,service_10000008,1179.92714576
client_10000007,service_10000009,1503.57203306
client_10000007,service_10000004,1940.236899
client_10000007,service_10000011,1971.46756123
client_10000007,service_10000006,2027.1189092
client_10000007,service_10000010,2166.88210492
client_10000007,service_10000005,2542.10030146
client_10000007,service_10000007,2618.98957577
client_10000007,service_10000001,2937.62969334
client_10000007,service_10000000,3117.84703451
client_10000008,service_10000004,216.918482285
client_10000008,service_10000006,404.542457506
client_10000008,service_10000007,498.231415357
client_10000008,service_10000005,569.417732636
client_10000008,service_10000011,629.802582664
client_10000008,service_10000009,653.809241716
client_10000008,service_10000001,894.519525869
client_10000008,service_10000000,994.682695374
client_10000008,service_10000010,1072.69601923
client_10000008,service_10000012,1503.08488523
